DOC_ppm,time_months,OIT_avg_min,OIT_surface_min,CO_surface_mol_L
0.0,0.0,291.0699999999998,291.07,0.0
0.0,0.18367346938775508,290.830418340424,290.61530089651376,3.5980739856210766e-07
0.0,0.36734693877551017,290.5523464868979,290.1605472682469,7.205338880228079e-07
0.0,0.5510204081632653,290.2491106135322,289.7057453817559,1.0821843112388874e-06
0.0,0.7346938775510203,289.9255192114929,289.25089283972164,1.4447637540932468e-06
0.0,0.9183673469387755,289.5847390584195,288.7959872335272,1.8082773309555428e-06
0.0,1.1020408163265305,289.2289840996324,288.3410261301805,2.172730217691444e-06
0.0,1.2857142857142856,288.86017755936,287.8860070785032,2.5381276360754187e-06
0.0,1.4693877551020407,288.4801953786494,287.4309276423902,2.90447476979089e-06
0.0,1.6530612244897962,288.09026335916843,286.97578532195485,3.2717769636584387e-06
0.0,1.836734693877551,287.69158218778915,286.5205776146844,3.640039569131788e-06
0.0,2.020408163265306,287.28529134316574,286.0653020048387,4.0092679711509115e-06
0.0,2.204081632653061,286.87244730749285,285.6099559819385,4.379467541250645e-06
0.0,2.387755102040816,286.4539221333275,285.15453701492356,4.75064370307877e-06
0.0,2.571428571428571,286.03030283331464,284.6990425072686,5.1228020460498304e-06
0.0,2.7551020408163263,285.60217642009843,284.24346986244825,5.4959481595783745e-06
0.0,2.9387755102040813,285.17012990632367,283.7878164839372,5.870087633078945e-06
0.0,3.122448979591837,284.7346583802611,283.33207972927977,6.245226172578053e-06
0.0,3.3061224489795924,284.2962852649897,282.8762570289208,6.62136929878815e-06
0.0,3.4897959183673466,283.85535463267274,282.42034572328413,6.998522761102057e-06
0.0,3.673469387755102,283.4121125428282,281.9643430944962,7.376692456980584e-06
0.0,3.8571428571428568,282.9668050549741,281.50824642468353,7.755884283884535e-06
0.0,4.040816326530612,282.5196782286284,281.0520529959727,8.136104139274721e-06
0.0,4.224489795918368,282.07097812330903,280.5957600904901,8.517357920611948e-06
0.0,4.408163265306122,281.62087266435424,280.1393648718967,8.899651827374212e-06
0.0,4.591836734693877,281.1695982873799,279.6828647360513,9.282991466544007e-06
0.0,4.775510204081632,280.71728168163287,279.2262568841659,9.667382941653526e-06
0.0,4.959183673469387,280.264006209881,278.7695384366978,1.0052832562197262e-05
0.0,5.142857142857142,279.80985523489187,278.31270651410455,1.0439346637669706e-05
0.0,5.326530612244898,279.3549121194334,277.85575823684326,1.0826931477565352e-05
0.0,5.5102040816326525,278.89926022627316,277.3986907253714,1.1215593391378694e-05
0.0,5.693877551020408,278.4429829181794,276.9415011001463,1.1605338688604221e-05
0.0,5.877551020408163,277.98615709117934,276.4841864319553,1.199617380617255e-05
0.0,6.061224489795918,277.5288064589838,276.02674353776035,1.238810583163801e-05
0.0,6.244897959183674,277.07103529109617,275.56917001104154,1.2781139859978349e-05
0.0,6.428571428571429,276.6128626297189,275.1114627412065,1.3175282792912448e-05
0.0,6.612244897959185,276.15430751705395,274.65361861766326,1.3570541532159197e-05
0.0,6.795918367346937,275.69538899530346,274.1956345298197,1.3966922979437477e-05
0.0,6.979591836734693,275.2361261066694,273.73750736708354,1.4364434036466175e-05
0.0,7.163265306122448,274.7765378933541,273.27923401886267,1.476308160496418e-05
0.0,7.346938775510204,274.31664339755946,272.820811374565,1.5162872586650371e-05
0.0,7.530612244897959,273.85646166148786,272.36223632359827,1.5563813883243633e-05
0.0,7.7142857142857135,273.39601172734126,271.9035057553705,1.5965912396462853e-05
0.0,7.8979591836734695,272.9353126373219,271.4446165592894,1.636917502802692e-05
0.0,8.081632653061224,272.4743756567873,270.98556553870185,1.6773608903637543e-05
0.0,8.26530612244898,272.013201375625,270.5263494729156,1.717922120736265e-05
0.0,8.448979591836736,271.5517939547089,270.066965071418,1.758601930454285e-05
0.0,8.63265306122449,271.0901571687128,269.60740902492734,1.7994010609571812e-05
0.0,8.816326530612244,270.62829479231004,269.1476780241622,1.8403202536843227e-05
0.0,9.0,270.1662106001745,268.6877687598408,1.8813602500750765e-05
0.05,0.0,291.0699999999998,291.07,0.0
0.05,0.18367346938775508,254.8855533772235,233.7253741071518,0.00012869085246617078
0.05,0.36734693877551017,220.21751721548387,186.57266820202057,0.0002690206657655738
0.05,0.5510204081632653,188.11855699872368,148.17303753526343,0.00041993076228438606
0.05,0.7346938775510203,159.097066880926,117.16448233785295,0.0005802908951324674
0.05,0.9183673469387755,133.35612900290602,92.30465954095202,0.0007489938033644858
0.05,1.1020408163265305,110.89163916551026,72.49504270704313,0.0009250223196005735
0.05,1.2857142857142856,91.5578319044124,56.78953840694915,0.001107488975592458
0.05,1.4693877551020407,75.11840698071067,44.38986767026821,0.00129565166574946
0.05,1.6530612244897962,61.28619782375073,34.63368164186873,0.0014889135253164773
0.05,1.836734693877551,49.75342898718443,26.979192545654506,0.00168681360381081
0.05,2.020408163265306,40.21365964828743,20.987529718225545,0.0018890113116540727
0.05,2.204081632653061,32.376520877478185,16.306744985884453,0.0020952704749655007
0.05,2.387755102040816,25.97640075249696,12.656016679246827,0.0023054421762798536
0.05,2.571428571428571,20.77679510491576,9.81263743904222,0.0025194500453005167
0.05,2.7551020408163263,16.571512217093083,7.600741343138398,0.0027372771392958043
0.05,2.9387755102040813,13.183810696134547,5.881950529718425,0.002958954859098676
0.05,3.122448979591837,10.464322682210339,4.5477429282384465,0.003184553811914082
0.05,3.3061224489795924,8.287994586332296,3.513025819082495,0.00341417602138471
0.05,3.4897959183673466,6.551194955421034,2.7113022011706183,0.0036479490971861634
0.05,3.673469387755102,5.1686632915276265,2.0906620984700943,0.0038860213823778862
0.05,3.8571428571428568,4.070594678219006,1.6105728514864244,0.004128558050459211
0.05,4.040816326530612,3.2003130291072375,1.2395303287833719,0.0043757383484990696
0.05,4.224489795918368,2.5120150896099456,0.9530680682989298,0.004627753243220157
0.05,4.408163265306122,1.9686388253877884,0.732088007468273,0.004884803395316945
0.05,4.591836734693877,1.5402933258254032,0.5617050346209203,0.005147097767623462
0.05,4.775510204081632,1.2034241607338065,0.430575802733225,0.005414853321032852
0.05,4.959183673469387,0.9387305481788368,0.3296528430488909,0.005688292859256817
0.05,5.142857142857142,0.7312065834121472,0.25211889027282935,0.005967645888209829
0.05,5.326530612244898,0.5687033497693931,0.192589070167373,0.006253147069129672
0.05,5.5102040816326525,0.4416574654634494,0.14693543162831407,0.00654503653982862
0.05,5.693877551020408,0.34247786879391257,0.1119609670765166,0.006843559398334855
0.05,5.877551020408163,0.2652199188432505,0.0852200156713164,0.007148966031139361
0.05,6.061224489795918,0.20501883420548722,0.06475225375135256,0.0074615106625669616
0.05,6.244897959183674,0.15832375220150474,0.049165403358568324,0.007781454228860589
0.05,6.428571428571429,0.12201637262154373,0.037252716958038695,0.008109059802760043
0.05,6.612244897959185,0.09389513738019199,0.02818697607549789,0.00844459762918373
0.05,6.795918367346937,0.07219366419771171,0.021314924568205145,0.00878834283493491
0.05,6.979591836734693,0.05538090247000047,0.016078211011976592,0.009140572780104909
0.05,7.163265306122448,0.04242065881137434,0.012110505022580813,0.009501572900464156
0.05,7.346938775510204,0.03247523392763172,0.009119221436406722,0.009871634106448014
0.05,7.530612244897959,0.02479563862600063,0.006846346686103754,0.010251047713443597
0.05,7.7142857142857135,0.018880492518978963,0.005124134704263093,0.010640113847408773
0.05,7.8979591836734695,0.01437734113361807,0.0038369549216718092,0.011039141546352623
0.05,8.081632653061224,0.010941888366879291,0.002871937226469591,0.011448441095268895
0.05,8.26530612244898,0.008300121107646672,0.002141445054315945,0.011868325419211921
0.05,8.448979591836736,0.006277329200187761,0.0015912339384077684,0.01229911708567349
0.05,8.63265306122449,0.004747956106991753,0.0011828905459133007,0.012741148316205706
0.05,8.816326530612244,0.0035872768477490614,0.0008783281950480625,0.01319475146604113
0.05,9.0,0.0027029741381334243,0.0006501867587260629,0.013660265310186064
0.1,0.0,291.0699999999998,291.07,0.0
0.1,0.18367346938775508,233.01238906071782,201.57626193844112,0.0002822556213537533
0.1,0.36734693877551017,182.77421561725404,138.3420321425015,0.0005907584823164292
0.1,0.5510204081632653,141.09640882558455,94.3094009976514,0.0009197756109749372
0.1,0.7346938775510203,107.49293690885472,63.978030124751086,0.0012645144318783768
0.1,0.9183673469387755,80.99122233879483,43.2479312134637,0.0016212991832617232
0.1,1.1020408163265305,60.45922147654772,29.158840676248534,0.0019874869547793785
0.1,1.2857142857142856,44.78192578085016,19.621409701482904,0.0023612803900655978
0.1,1.4693877551020407,32.95340114138614,13.183728617458655,0.0027415267891258
0.1,1.6530612244897962,24.115720005677073,8.847431344687218,0.0031275439809636645
0.1,1.836734693877551,17.565502642185788,5.931071722973228,0.003518984339953513
0.1,2.020408163265306,12.743089485500391,3.9723368930760135,0.003915734603364835
0.1,2.204081632653061,9.212397636053748,2.658132295269842,0.004317842931825672
0.1,2.387755102040816,6.639394949880824,1.777104317382924,0.0047254689271666725
0.1,2.571428571428571,4.771887404286264,1.1870420578971903,0.005138849160583721
0.1,2.7551020408163263,3.4211455051456916,0.7921922297457138,0.005558273093593886
0.1,2.9387755102040813,2.4471414914071166,0.5281865111665734,0.005984067132592537
0.1,3.122448979591837,1.7467424416396224,0.35183035607550606,0.006416583878660199
0.1,3.3061224489795924,1.244273439372194,0.23410300131915096,0.006856194773848814
0.1,3.4897959183673466,0.8846498096118381,0.15559824117696178,0.007303285454808046
0.1,3.673469387755102,0.6278196235464081,0.1033039256247625,0.007758252453843807
0.1,3.8571428571428568,0.44482519828412337,0.06852355528306016,0.00822150120915387
0.1,4.040816326530612,0.31456735898614063,0.04537890746485421,0.008693444427929383
0.1,4.224489795918368,0.22210893787468677,0.030021066351219917,0.009174501878338532
0.1,4.408163265306122,0.1565591928905416,0.01983259814794609,0.009665099210431327
0.1,4.591836734693877,0.11017830498871986,0.013084203807438676,0.010165668179906566
0.1,4.775510204081632,0.0774172774078392,0.00862077155179381,0.010676646244316731
0.1,4.959183673469387,0.054313742307958206,0.005671795213401465,0.011198476740916523
0.1,5.142857142857142,0.038016134311864055,0.0037206041811563718,0.011731608244504942
0.1,5.326530612244898,0.026623584735589245,0.002446828736515355,0.01227649721414166
0.1,5.5102040816326525,0.01856528951771621,0.0015982351297805376,0.012833602026827009
0.1,5.693877551020408,0.01292836377294059,0.0010425746562285406,0.013403391450955718
0.1,5.877551020408163,0.009019355668585005,0.0006834240258552403,0.01398634033133688
0.1,6.061224489795918,0.006269359593132273,0.0004453388359580504,0.014582926019646805
0.1,6.244897959183674,0.004329757509726135,0.0002870401708432635,0.015193632883776587
0.1,6.428571428571429,0.003000701457275531,0.00018649937173526688,0.015818959230738686
0.1,6.612244897959185,0.002085809133986389,0.00012205526821124482,0.016459404733015284
0.1,6.795918367346937,0.0014409198986687153,7.896642826685781e-05,0.0171154726823672
0.1,6.979591836734693,0.0009869011423566697,5.0333712563822096e-05,0.01778767451263457
0.1,7.163265306122448,0.0006781897692949643,3.231747305193323e-05,0.01847653870917667
0.1,7.346938775510204,0.00046922268372830557,2.1078061680986308e-05,0.019182593757352786
0.1,7.530612244897959,0.000322983940445703,1.3597192648706106e-05,0.01990637492138803
0.1,7.7142857142857135,0.00021986783370523747,8.60456454672702e-06,0.020648418479240423
0.1,7.8979591836734695,0.00014957734588279937,5.440856143227921e-06,0.021409284351585924
0.1,8.081632653061224,0.00010263864480939253,3.5044763380235505e-06,0.022189534692977513
0.1,8.26530612244898,7.033425953712213e-05,2.2499893205930377e-06,0.022989735967520755
0.1,8.448979591836736,4.765171467522772e-05,1.4165965584328302e-06,0.02381045615503953
0.1,8.63265306122449,3.210968104765998e-05,8.83137935807832e-07,0.02465228441058645
0.1,8.816326530612244,2.1797260088132365e-05,5.587762547714401e-07,0.0255158186815676
0.1,9.0,1.4818084456577305e-05,3.540447899217778e-07,0.026401657016422237
0.5,0.0,291.0699999999998,291.07,0.0
0.5,0.18367346938775508,139.11358662544143,81.13825907468464,0.0014226910086469924
0.5,0.36734693877551017,64.93826923179671,22.29899865831761,0.0029373119432854968
0.5,0.5510204081632653,30.124284468808447,6.102114927847707,0.004482716308460275
0.5,0.7346938775510203,13.954240992642433,1.6672634183675643,0.006042055881201854
0.5,0.9183673469387755,6.4638002784127355,0.45516157212805136,0.007611939960069699
0.5,1.1020408163265305,2.994846470812714,0.12415530674350901,0.009192765238200786
0.5,1.2857142857142856,1.387763748018704,0.03383778494523765,0.010785972737786037
0.5,1.4693877551020407,0.6429899655071827,0.009212673220243616,0.012393290321103171
0.5,1.6530612244897962,0.2978621662651586,0.0025087946218181616,0.014016525355313681
0.5,1.836734693877551,0.13788850658701401,0.00068172358370992,0.015657508214314293
0.5,2.020408163265306,0.06378229130669401,0.00018485684143265528,0.01731807711379345
0.5,2.204081632653061,0.029502854321307715,5.036991925584184e-05,0.019000074186692143
0.5,2.387755102040816,0.013616134101783335,1.3618968258093967e-05,0.020705344588817093
0.5,2.571428571428571,0.006264208730657992,3.593477545319144e-06,0.02243573654703257
0.5,2.7551020408163263,0.0029087820923876994,1.0301576167983558e-06,0.02419310166203767
0.5,2.9387755102040813,0.0013213479116869964,2.506636605554737e-07,0.02597929430642293
0.5,3.122448979591837,0.000613860311132877,7.852053079028046e-08,0.027796173547193784
0.5,3.3061224489795924,0.00028633993680031043,2.2995787501229928e-08,0.029645602047788665
0.5,3.4897959183673466,0.00012308242003991507,3.153282144725954e-09,0.03152944379939378
0.5,3.673469387755102,5.6923922693469024e-05,1.8772131594146527e-09,0.033449572022065964
0.5,3.8571428571428568,2.8991495800493594e-05,3.3339733572472826e-09,0.035407862597435634
0.5,4.040816326530612,1.3320631133292825e-05,1.572132436432309e-09,0.037406190550582384
0.5,4.224489795918368,5.036078311010505e-06,3.9356023505954035e-10,0.03944643653483796
0.5,4.408163265306122,1.7450427448486189e-06,2.3652130472086684e-09,0.041530493987021445
0.5,4.591836734693877,1.0547298460090434e-06,1.0054047166959343e-08,0.043660256343951966
0.5,4.775510204081632,6.206706029507893e-07,2.3535645960898927e-08,0.04583761755968705
0.5,4.959183673469387,3.162328990497717e-07,8.782105325468708e-09,0.048064477437840494
0.5,5.142857142857142,1.462709118511507e-07,1.98980284772806e-09,0.050342735600271644
0.5,5.326530612244898,1.5226629653222808e-07,6.29313623032624e-09,0.052674306067423696
0.5,5.5102040816326525,3.7570070827030567e-07,2.482650317591246e-08,0.055061102859739815
0.5,5.693877551020408,8.580558022426875e-07,6.07243013871361e-08,0.05750503999766319
0.5,5.877551020408163,4.6833277480570257e-07,2.3685779141844713e-08,0.06000803578205505
0.5,6.061224489795918,1.7211791550191924e-07,6.673054985315444e-10,0.0625720092968464
0.5,6.244897959183674,2.4864273011920557e-08,0.0,0.06519888829253741
0.5,6.428571428571429,0.0,0.0,0.06789060111900691
0.5,6.612244897959185,0.0,0.0,0.07064907612613384
0.5,6.795918367346937,0.0,0.0,0.07347624189186815
0.5,6.979591836734693,0.0,0.0,0.0763740319983386
0.5,7.163265306122448,1.012286180310787e-10,1.6816165053813827e-09,0.07934437872530566
0.5,7.346938775510204,4.020800680067574e-11,7.540892578828379e-10,0.0823892138342084
0.5,7.530612244897959,0.0,0.0,0.08551046908648587
0.5,7.7142857142857135,0.0,0.0,0.0887100737786782
0.5,7.8979591836734695,0.0,0.0,0.09198996164638584
0.5,8.081632653061224,4.396255784837058e-12,5.187451214035429e-11,0.09535206251266659
0.5,8.26530612244898,3.430879366404068e-11,6.8829447636477e-11,0.0987982954528458
0.5,8.448979591836736,5.461848591371461e-13,1.365454987078486e-11,0.10233057954224874
0.5,8.63265306122449,1.3484701053310986e-10,3.34882540983663e-11,0.10595083385620069
0.5,8.816326530612244,7.80580027717059e-11,1.0277900643607562e-11,0.1096609732016382
0.5,9.0,3.327958447536356e-11,2.712637498144945e-12,0.11346290195559355
1.0,0.0,291.0699999999998,291.07,0.0
1.0,0.18367346938775508,83.4419795678567,30.274172812591953,0.002627754959555981
1.0,0.36734693877551017,24.44507418176158,3.111719352186518,0.005360459215349479
1.0,0.5510204081632653,7.331425378239636,0.3193430008677215,0.00811288400336201
1.0,0.7346938775510203,2.2245046641251602,0.03275118543039254,0.010879262743619745
1.0,0.9183673469387755,0.6780291780266416,0.0033578832558690415,0.013662388027480854
1.0,1.1020408163265305,0.20690232170463344,0.0003436271608350365,0.016465929276687576
1.0,1.2857142857142856,0.06315882180295392,3.5318490427475136e-05,0.019293639225578217
1.0,1.4693877551020407,0.01924830805972301,3.5915014013753564e-06,0.022149272231567253
1.0,1.6530612244897962,0.005865347290014617,3.69395924266283e-07,0.025036575676701853
1.0,1.836734693877551,0.001798074473111033,4.1626497255228856e-08,0.02795928883507547
1.0,2.020408163265306,0.0005345444752335641,3.111454505520456e-09,0.03092114289349017
1.0,2.204081632653061,0.00017007137357963556,6.797019364883723e-10,0.03392585907015087
1.0,2.387755102040816,4.505345558168201e-05,0.0,0.036977152596333586
1.0,2.571428571428571,1.6713153369878488e-05,5.080252545605735e-11,0.0400787241747701
1.0,2.7551020408163263,5.852839385407605e-06,9.889296025175322e-11,0.04323426037019154
1.0,2.9387755102040813,9.273434634708223e-07,1.2202657463255981e-11,0.046447467910113775
1.0,3.122448979591837,0.0,0.0,0.04972200247209193
1.0,3.3061224489795924,0.0,0.0,0.05306151612654589
1.0,3.4897959183673466,6.69519189354025e-08,0.0,0.05646966094389552
1.0,3.673469387755102,0.0,0.0,0.05995005446704976
1.0,3.8571428571428568,6.654083570776559e-10,3.006295572928828e-11,0.06350637498496167
1.0,4.040816326530612,1.4692686290338308e-09,6.135973912481515e-11,0.06714219761138777
1.0,4.224489795918368,0.0,0.0,0.07086109082557757
1.0,4.408163265306122,0.0,0.0,0.07466662310678052
1.0,4.591836734693877,0.0,0.0,0.07856236293424612
1.0,4.775510204081632,0.0,0.0,0.08255182879860888
1.0,4.959183673469387,1.787355853653529e-11,1.5223174732151144e-10,0.08663860391123174
1.0,5.142857142857142,4.02595781313358e-09,1.9237634230472704e-10,0.09082613985885356
1.0,5.326530612244898,1.939802901020798e-09,3.685792856888523e-11,0.09511788221070687
1.0,5.5102040816326525,0.0,0.0,0.09951727653602419
1.0,5.693877551020408,0.0,0.0,0.10402775170863908
1.0,5.877551020408163,0.0,0.0,0.10865271811854675
1.0,6.061224489795918,3.896117982589455e-11,1.2064238716218865e-11,0.11339559280684988
1.0,6.244897959183674,1.748399461273606e-10,1.0503464824993163e-11,0.11825965487299614
1.0,6.428571428571429,6.886023259695226e-11,7.762517631504034e-13,0.1232481834164331
1.0,6.612244897959185,3.8582930553335405e-12,0.0,0.12836445753660844
1.0,6.795918367346937,4.233628029636439e-11,7.900254272433938e-14,0.13361170987733245
1.0,6.979591836734693,1.0928819187515558e-11,1.0440058587558395e-14,0.1389932145316943
1.0,7.163265306122448,9.102853996554734e-16,2.2751950938951402e-14,0.14451213602267624
1.0,7.346938775510204,1.833553792284529e-14,1.2987454522392973e-13,0.15017153475379966
1.0,7.530612244897959,7.907820274770177e-12,3.4574416688790263e-13,0.15597447112858587
1.0,7.7142857142857135,1.886471207789923e-11,6.842971413762844e-13,0.16192400555055636
1.0,7.8979591836734695,1.0750790491474155e-11,3.0496593512809447e-13,0.1680231139810387
1.0,8.081632653061224,1.6775738214044332e-12,0.0,0.17427487203227257
1.0,8.26530612244898,0.0,0.0,0.18068212526966762
1.0,8.448979591836736,0.0,0.0,0.18724765978345798
1.0,8.63265306122449,5.879835223446964e-13,5.958623549006677e-14,0.19397426166387788
1.0,8.816326530612244,9.417004209706592e-13,5.5090237345240195e-14,0.2008647170011616
1.0,9.0,2.3438475591451674e-13,4.891378951168546e-15,0.20792175243638414
2.0,0.0,291.0699999999998,291.07,0.0
2.0,0.18367346938775508,34.87529140603858,4.7788127530645985,0.004611289736540115
2.0,0.36734693877551017,4.795545159609892,0.07788365067224831,0.00931338430283604
2.0,0.5510204081632653,0.6896879208180837,0.0012678764229044374,0.014034550519004424
2.0,0.7346938775510203,0.1001604421136293,2.0648732450074347e-05,0.01878161892205099
2.0,0.9183673469387755,0.014585144094700509,3.454770063903993e-07,0.023562698202094202
2.0,1.1020408163265305,0.0021040223733769514,4.942308926204393e-09,0.028385877609825694
2.0,1.2857142857142856,0.0003010440356890123,5.244550693450543e-11,0.033259202388122064
2.0,1.4693877551020407,4.823826766748923e-05,1.1851824708691476e-11,0.03819066866198333
2.0,1.6530612244897962,4.168552405193517e-06,0.0,0.04318822817011839
2.0,1.836734693877551,1.8729445335443357e-06,5.655683679323245e-13,0.04825974990561793
2.0,2.020408163265306,2.0293218834594448e-07,6.157731299517024e-13,0.053413098117635234
2.0,2.204081632653061,0.0,0.0,0.0586560728496819
2.0,2.387755102040816,0.0,0.0,0.06399631283160731
2.0,2.571428571428571,3.72966792213305e-08,0.0,0.06944145679326089
2.0,2.7551020408163263,0.0,0.0,0.0749990745070271
2.0,2.9387755102040813,0.0,0.0,0.08067674896026356
2.0,3.122448979591837,0.0,0.0,0.08648180035742305
2.0,3.3061224489795924,0.0,0.0,0.09242151363717777
2.0,3.4897959183673466,0.0,0.0,0.09850313233948366
2.0,3.673469387755102,1.3262932683731114e-10,2.4094548270154725e-11,0.10473388502332563
2.0,3.8571428571428568,0.0,0.0,0.1111207921100814
2.0,4.040816326530612,0.0,0.0,0.11767070389227598
2.0,4.224489795918368,0.0,0.0,0.1243904706624344
2.0,4.408163265306122,0.0,0.0,0.13128682093138785
2.0,4.591836734693877,8.429117848643357e-10,3.0481181686075004e-11,0.1383664944272912
2.0,4.775510204081632,1.6600898954682337e-09,0.0,0.1456358406838047
2.0,4.959183673469387,1.3473222848098922e-08,0.0,0.1531011915360081
2.0,5.142857142857142,1.742428711197194e-08,0.0,0.16076880264260401
2.0,5.326530612244898,3.369403814222112e-09,1.878936627765894e-11,0.16864492452371382
2.0,5.5102040816326525,7.437126677866515e-09,2.2763176960260185e-11,0.17673544837276056
2.0,5.693877551020408,3.7715499114809493e-08,3.68787045874101e-11,0.18504610461438556
2.0,5.877551020408163,9.27509186515133e-08,1.0521698347976644e-10,0.19358261230679566
2.0,6.061224489795918,2.1067518644824715e-08,5.632335653698631e-12,0.2023505411456825
2.0,6.244897959183674,6.7513650680334176e-09,1.2253217128047259e-11,0.21135540310342246
2.0,6.428571428571429,4.6019737546351084e-08,1.0898881517478234e-10,0.22060224964784067
2.0,6.612244897959185,1.350899157049896e-07,2.797483170658744e-10,0.23009613224676226
2.0,6.795918367346937,8.083472043830269e-08,1.0105212114541056e-10,0.2398419836501952
2.0,6.979591836734693,1.152975233104014e-08,0.0,0.24984473159144316
2.0,7.163265306122448,3.637994096862373e-08,8.500392849778652e-11,0.26010880712975226
2.0,7.346938775510204,1.344975754573885e-07,3.38064239076111e-10,0.27063851525980326
2.0,7.530612244897959,2.0201360355413521e-07,4.100288057004775e-10,0.28143811502536215
2.0,7.7142857142857135,4.199742445313184e-08,0.0,0.2925117648757185
2.0,7.8979591836734695,2.098347956629661e-08,0.0,0.30386337320225043
2.0,8.081632653061224,1.0070650579778074e-07,2.643091593509494e-10,0.3154964451585482
2.0,8.26530612244898,2.42898708733034e-07,5.839223377245096e-10,0.3274144858982022
2.0,8.448979591836736,6.753041582384676e-08,4.213557478397204e-11,0.33962087744716135
2.0,8.63265306122449,0.0,0.0,0.35211883860058985
2.0,8.816326530612244,8.296810124347137e-13,2.0742413348299407e-11,0.3649111615475677
2.0,9.0,5.094320776473007e-10,5.301021368271043e-11,0.37800059091609
5.0,0.0,291.0699999999998,291.07,0.0
5.0,0.18367346938775508,3.911554693572341,0.02483582728483835,0.008963409374215076
5.0,0.36734693877551017,0.07573454543004908,2.1005282012613988e-06,0.017995577772819068
5.0,0.5510204081632653,0.0015170400051286316,2.3285107098646586e-10,0.02707644796309612
5.0,0.7346938775510203,2.8284261458428898e-05,0.0,0.036230935821616336
5.0,0.9183673469387755,9.067134730406548e-07,6.099590277556363e-15,0.045483679825709035
5.0,1.1020408163265305,0.0,0.0,0.05485903598640474
5.0,1.2857142857142856,4.15320050755826e-08,0.0,0.0643809308275262
5.0,1.4693877551020407,0.0,0.0,0.0740731742208948
5.0,1.6530612244897962,0.0,0.0,0.08395883045164274
5.0,1.836734693877551,0.0,0.0,0.09406068724507256
5.0,2.020408163265306,1.1978237343525146e-13,2.9887160128552627e-12,0.10440132768196578
5.0,2.204081632653061,0.0,0.0,0.11500246179688693
5.0,2.387755102040816,0.0,0.0,0.125885386205347
5.0,2.571428571428571,4.269541097928827e-09,4.111634313013311e-11,0.13707116472920292
5.0,2.7551020408163263,0.0,0.0,0.14857997974457895
5.0,2.9387755102040813,0.0,0.0,0.16043139281790456
5.0,3.122448979591837,4.394889949522057e-09,6.623214609804395e-11,0.17264465036192753
5.0,3.3061224489795924,0.0,0.0,0.18523826549326933
5.0,3.4897959183673466,0.0,0.0,0.19822980813737312
5.0,3.673469387755102,1.5194657855249123e-09,6.781037843770224e-11,0.21163654951777253
5.0,3.8571428571428568,0.0,0.0,0.22547509252019196
5.0,4.040816326530612,0.0,0.0,0.23976085529134814
5.0,4.224489795918368,5.02267019686062e-11,3.65995865345263e-11,0.2545089693869392
5.0,4.408163265306122,4.1782837292987915e-11,9.858905899970828e-12,0.26973394461786054
5.0,4.591836734693877,0.0,0.0,0.28544893853568004
5.0,4.775510204081632,0.0,0.0,0.3016667833244665
5.0,4.959183673469387,3.4253702321379613e-09,5.384161456416555e-11,0.31839977071975534
5.0,5.142857142857142,0.0,0.0,0.3356587326547114
5.0,5.326530612244898,0.0,0.0,0.35345409311728004
5.0,5.5102040816326525,3.701578946001722e-09,7.19640047226666e-11,0.3717958233882173
5.0,5.693877551020408,1.0122771639097394e-08,0.0,0.3906924215770661
5.0,5.877551020408163,1.74904565334117e-08,0.0,0.4101517770447843
5.0,6.061224489795918,1.109708060158846e-09,5.185108549249567e-11,0.43018161164886737
5.0,6.244897959183674,1.996547895400203e-08,1.930726364382165e-11,0.450788220450877
5.0,6.428571428571429,7.850258708107011e-08,0.0,0.4719768243918823
5.0,6.612244897959185,5.9386384196122846e-08,0.0,0.49375240278254395
5.0,6.795918367346937,2.451663298378743e-11,2.966984198835242e-11,0.5161195724726256
5.0,6.979591836734693,6.834676156872063e-08,0.0,0.5390812970601631
5.0,7.163265306122448,2.220124660369693e-07,0.0,0.5626398267885149
5.0,7.346938775510204,9.389085859358995e-08,0.0,0.586797115332503
5.0,7.530612244897959,2.0956643303522347e-11,8.10066279782437e-11,0.6115547319458408
5.0,7.7142857142857135,1.1002149540503415e-07,1.2112626252351532e-10,0.6369125868799955
5.0,7.8979591836734695,3.2559038398131425e-07,1.626864917828399e-10,0.6628701399118346
5.0,8.081632653061224,7.273859677303237e-08,0.0,0.6894265053048478
5.0,8.26530612244898,2.140668922947366e-12,5.3536073374542914e-11,0.7165803881899117
5.0,8.448979591836736,1.1588461861551485e-07,4.917643593975218e-10,0.7443289608530587
5.0,8.63265306122449,3.0619038887595033e-07,9.94683673050586e-10,0.7726691434827478
5.0,8.816326530612244,0.0,0.0,0.8015975908316677
5.0,9.0,1.3841132208458308e-08,6.80144212711501e-11,0.8311100033405652
